lon,lat,yield
-96.47,41.163,110.0
-96.46975,41.163,110.0
-96.4695,41.163,110.0
-96.46925,41.163,130.0
-96.469,41.163,130.0
-96.46875,41.163,130.0
-96.4685,41.163,150.0
-96.46825,41.163,150.0
-96.468,41.163,150.0
-96.47,41.16325,110.7
-96.46975,41.16325,110.7
-96.4695,41.16325,110.7
-96.46925,41.16325,130.7
-96.469,41.16325,130.7
-96.46875,41.16325,130.7
-96.4685,41.16325,150.7
-96.46825,41.16325,150.7
-96.468,41.16325,150.7
-96.47,41.1635,111.4
-96.46975,41.1635,111.4
-96.4695,41.1635,111.4
-96.46925,41.1635,131.4
-96.469,41.1635,131.4
-96.46875,41.1635,131.4
-96.4685,41.1635,151.4
-96.46825,41.1635,151.4
-96.468,41.1635,151.4
-96.47,41.16375,112.1
-96.46975,41.16375,112.1
-96.4695,41.16375,112.1
-96.46925,41.16375,132.1
-96.469,41.16375,132.1
-96.46875,41.16375,132.1
-96.4685,41.16375,152.1
-96.46825,41.16375,152.1
-96.468,41.16375,152.1
-96.47,41.164,112.8
-96.46975,41.164,112.8
-96.4695,41.164,112.8
-96.46925,41.164,132.8
-96.469,41.164,132.8
-96.46875,41.164,132.8
-96.4685,41.164,152.8
-96.46825,41.164,152.8
-96.468,41.164,152.8
-96.47,41.16425,113.5
-96.46975,41.16425,113.5
-96.4695,41.16425,113.5
-96.46925,41.16425,133.5
-96.469,41.16425,133.5
-96.46875,41.16425,133.5
-96.4685,41.16425,153.5
-96.46825,41.16425,153.5
-96.468,41.16425,153.5
-96.47,41.1645,114.2
-96.46975,41.1645,114.2
-96.4695,41.1645,114.2
-96.46925,41.1645,134.2
-96.469,41.1645,134.2
-96.46875,41.1645,134.2
-96.4685,41.1645,154.2
-96.46825,41.1645,154.2
-96.468,41.1645,154.2
-96.47,41.16475,114.9
-96.46975,41.16475,114.9
-96.4695,41.16475,114.9
-96.46925,41.16475,134.9
-96.469,41.16475,134.9
-96.46875,41.16475,134.9
-96.4685,41.16475,154.9
-96.46825,41.16475,154.9
-96.468,41.16475,154.9
-96.47,41.165,115.6
-96.46975,41.165,115.6
-96.4695,41.165,115.6
-96.46925,41.165,135.6
-96.469,41.165,135.6
-96.46875,41.165,135.6
-96.4685,41.165,155.6
-96.46825,41.165,155.6
-96.468,41.165,155.6
