ID,Latitude,Longitude,ECaD,Elevation
1,41.1650000005,-96.4699999987,10.0,300.0
2,41.1651349883,-96.4699948034,10.02,300.01
3,41.165269976,-96.4699896081,10.04,300.02
4,41.1654049637,-96.4699844127,10.06,300.03
5,41.1655399514,-96.4699792173,10.08,300.04
6,41.1656749391,-96.4699740219,10.1,300.05
7,41.1658099267,-96.4699688264,10.12,300.06
8,41.1659449144,-96.4699636309,10.14,300.07
9,41.1660799021,-96.4699584353,10.16,300.08
10,41.1662148898,-96.4699532398,10.18,300.09
11,41.1663498775,-96.4699480442,10.2,300.1
12,41.1664848651,-96.4699428485,10.22,300.11
13,41.1666198528,-96.4699376528,10.24,300.12
14,41.1667548405,-96.4699324571,10.26,300.13
15,41.1668898281,-96.4699272614,10.28,300.14
16,41.1670248158,-96.4699220656,10.3,300.15
17,41.1671598035,-96.4699168697,10.32,300.16
18,41.1672947911,-96.4699116739,10.34,300.17
19,41.1674297788,-96.469906478,10.36,300.18
20,41.1675647664,-96.4699012821,10.38,300.19
21,41.167699754,-96.4698960861,10.4,300.2
22,41.1649960744,-96.4698213709,12.0,300.3
23,41.1651310621,-96.4698161752,12.02,300.31
24,41.1652660498,-96.4698109795,12.04,300.32
25,41.1654010374,-96.4698057838,12.06,300.33
26,41.1655360251,-96.469800588,12.08,300.34000000000003
27,41.1656710128,-96.4697953922,12.1,300.35
28,41.1658060005,-96.4697901964,12.12,300.36
29,41.1659409881,-96.4697850005,12.14,300.37
30,41.1660759758,-96.4697798046,12.16,300.38
31,41.1662109635,-96.4697746087,12.18,300.39
32,41.1663459511,-96.4697694127,12.2,300.40000000000003
33,41.1664809388,-96.4697642167,12.22,300.41
34,41.1666159264,-96.4697590206,12.24,300.42
35,41.1667509141,-96.4697538245,12.26,300.43
36,41.1668859017,-96.4697486284,12.28,300.44
37,41.1670208894,-96.4697434323,12.3,300.45
38,41.167155877,-96.4697382361,12.32,300.46000000000004
39,41.1672908646,-96.4697330399,12.34,300.47
40,41.1674258522,-96.4697278436,12.36,300.48
41,41.1675608399,-96.4697226473,12.38,300.49
42,41.1676958275,-96.469717451,12.4,300.5
43,41.1649921479,-96.4696427431,14.0,300.6
44,41.1651271356,-96.4696375471,14.02,300.61
45,41.1652621233,-96.469632351,14.04,300.62
46,41.1653971109,-96.4696271549,14.06,300.63
47,41.1655320986,-96.4696219588,14.08,300.64000000000004
48,41.1656670863,-96.4696167626,14.1,300.65000000000003
49,41.1658020739,-96.4696115664,14.12,300.66
50,41.1659370616,-96.4696063702,14.14,300.67
51,41.1660720492,-96.4696011739,14.16,300.68
52,41.1662070368,-96.4695959776,14.18,300.69
53,41.1663420245,-96.4695907813,14.2,300.70000000000005
54,41.1664770121,-96.4695855849,14.22,300.71000000000004
55,41.1666119998,-96.4695803885,14.24,300.72
56,41.1667469874,-96.469575192,14.26,300.73
57,41.166881975,-96.4695699955,14.28,300.74
58,41.1670169626,-96.469564799,14.3,300.75
59,41.1671519502,-96.4695596025,14.32,300.76000000000005
60,41.1672869379,-96.4695544059,14.34,300.77000000000004
61,41.1674219255,-96.4695492092,14.36,300.78000000000003
62,41.1675569131,-96.4695440126,14.38,300.79
63,41.1676919007,-96.4695388159,14.4,300.8
64,41.1649882212,-96.4694641154,16.0,300.9
65,41.1651232089,-96.469458919,16.02,300.90999999999997
66,41.1652581965,-96.4694537226,16.04,300.91999999999996
67,41.1653931842,-96.4694485261,16.06,300.92999999999995
68,41.1655281718,-96.4694433296,16.08,300.94
69,41.1656631594,-96.4694381331,16.1,300.95
70,41.1657981471,-96.4694329365,16.12,300.96
71,41.1659331347,-96.4694277399,16.14,300.96999999999997
72,41.1660681223,-96.4694225433,16.16,300.97999999999996
73,41.16620311,-96.4694173466,16.18,300.98999999999995
74,41.1663380976,-96.4694121499,16.2,301.0
